modelname,fips,weekahead,prob,score,trainingweek
theScienceDogs,42001,1,0.13062,-2.035462935,202021
theScienceDogs,42001,2,0.174025298,-1.748554598,202021
theScienceDogs,42001,3,0.160988724,-1.826420951,202021
theScienceDogs,42001,4,0.15068824,-1.892542215,202021
theScienceDogs,42063,1,0.308967013,-1.174520763,202021
theScienceDogs,42063,2,0.295954805,-1.217548523,202021
theScienceDogs,42063,3,0.303345085,-1.192884228,202021
theScienceDogs,42063,4,0.299382385,-1.206033645,202021
theScienceDogs,42061,1,0,#NAME?,202021
theScienceDogs,42061,2,0,#NAME?,202021
theScienceDogs,42061,3,0,#NAME?,202021
theScienceDogs,42061,4,0,#NAME?,202021
theScienceDogs,42059,1,0.914398595,-0.089488703,202021
theScienceDogs,42059,2,0.859136796,-0.151827119,202021
theScienceDogs,42059,3,0.83603285,-0.179087372,202021
theScienceDogs,42059,4,0.833366267,-0.182282037,202021
theScienceDogs,42057,1,,,202021
theScienceDogs,42057,2,,,202021
theScienceDogs,42057,3,,,202021
theScienceDogs,42057,4,,,202021
theScienceDogs,42055,1,0.06576,-2.721743528,202021
theScienceDogs,42055,2,0.0008,-7.13089883,202021
theScienceDogs,42055,3,6.00E-05,-9.721165996,202021
theScienceDogs,42055,4,0.001580032,-6.450310432,202021
theScienceDogs,42053,1,,,202021
theScienceDogs,42053,2,,,202021
theScienceDogs,42053,3,,,202021
theScienceDogs,42053,4,,,202021
theScienceDogs,42051,1,0.378829429,-0.970669231,202021
theScienceDogs,42051,2,0.382655224,-0.960620895,202021
theScienceDogs,42051,3,0.347633487,-1.056606552,202021
theScienceDogs,42051,4,0.331787576,-1.103260345,202021
theScienceDogs,42049,1,0,#NAME?,202021
theScienceDogs,42049,2,0,#NAME?,202021
theScienceDogs,42049,3,0,#NAME?,202021
theScienceDogs,42049,4,0,#NAME?,202021
theScienceDogs,42047,1,,,202021
theScienceDogs,42047,2,,,202021
theScienceDogs,42047,3,,,202021
theScienceDogs,42047,4,,,202021
theScienceDogs,42045,2,0.007653671,-4.872569829,202021
theScienceDogs,42045,3,0.005536077,-5.196469194,202021
theScienceDogs,42045,4,0.003132212,-5.766015709,202021
theScienceDogs,42043,1,0.05096,-2.976714268,202021
theScienceDogs,42043,2,0.02432,-3.716456222,202021
theScienceDogs,42043,3,0.034082045,-3.378984575,202021
theScienceDogs,42043,4,0.044473342,-3.112865325,202021
theScienceDogs,42041,1,0.05328,-2.932194253,202021
theScienceDogs,42041,2,0.015367069,-4.175528445,202021
theScienceDogs,42041,3,0.015890191,-4.142053255,202021
theScienceDogs,42041,4,0.041638212,-3.178736987,202021
theScienceDogs,42039,1,0.941153349,-0.060649188,202021
theScienceDogs,42039,2,0.067871542,-2.690138452,202021
theScienceDogs,42039,3,0.933133623,-0.06920687,202021
theScienceDogs,42039,4,0.069746975,-2.662881233,202021
theScienceDogs,42037,1,0.122701236,-2.098002854,202021
theScienceDogs,42037,2,0.090133,-2.40646892,202021
theScienceDogs,42037,3,0.102407906,-2.278791361,202021
theScienceDogs,42037,4,0.093310365,-2.371824088,202021
theScienceDogs,42065,1,,,202021
theScienceDogs,42065,2,,,202021
theScienceDogs,42065,3,,,202021
theScienceDogs,42065,4,,,202021
theScienceDogs,42035,1,0.25565853,-1.363912591,202021
theScienceDogs,42035,2,0.312518323,-1.163092178,202021
theScienceDogs,42035,3,0.627993713,-0.465225124,202021
theScienceDogs,42035,4,0.617699162,-0.481753733,202021
theScienceDogs,42031,1,0.926071998,-0.076803296,202021
theScienceDogs,42031,3,0.887330928,-0.11953728,202021
theScienceDogs,42031,4,0.882607742,-0.12487441,202021
theScienceDogs,42029,1,0.007581061,-4.88210207,202021
theScienceDogs,42029,2,0.02257286,-3.791006987,202021
theScienceDogs,42029,3,0.025486778,-3.669595458,202021
theScienceDogs,42029,4,0.006342495,-5.0604831,202021
theScienceDogs,42027,1,0.276003541,-1.287341583,202021
theScienceDogs,42027,2,0.240905877,-1.423348973,202021
theScienceDogs,42027,3,0.181586931,-1.70602078,202021
theScienceDogs,42027,4,0.23341075,-1.454955503,202021
theScienceDogs,42025,1,0.193712756,-1.641378857,202021
theScienceDogs,42025,2,0.139682612,-1.968382487,202021
theScienceDogs,42025,3,0.151186093,-1.889243796,202021
theScienceDogs,42025,4,0.131018321,-2.032418109,202021
theScienceDogs,42023,1,,,202021
theScienceDogs,42023,2,,,202021
theScienceDogs,42023,3,,,202021
theScienceDogs,42023,4,,,202021
theScienceDogs,42021,1,0.00038,-7.875339305,202021
theScienceDogs,42021,2,0.00562,-5.181423615,202021
theScienceDogs,42021,3,0.013060522,-4.338161154,202021
theScienceDogs,42021,4,0.019246544,-3.950423776,202021
theScienceDogs,42019,1,0.212692154,-1.547909445,202021
theScienceDogs,42019,2,0.179090327,-1.719864982,202021
theScienceDogs,42019,3,0.159337419,-1.836731194,202021
theScienceDogs,42019,4,0.164483261,-1.804946474,202021
theScienceDogs,42017,1,0.039835929,-3.22298604,202021
theScienceDogs,42017,2,0.002331623,-6.061190483,202021
theScienceDogs,42017,3,0.002645862,-5.93475852,202021
theScienceDogs,42017,4,0.002869943,-5.853463249,202021
theScienceDogs,42015,1,0.903784137,-0.101164734,202021
theScienceDogs,42015,2,0.840035314,-0.174311347,202021
theScienceDogs,42015,3,0.806005311,-0.215664947,202021
theScienceDogs,42015,4,0.784448244,-0.242774683,202021
theScienceDogs,42013,1,0.00198923,-6.220007636,202021
theScienceDogs,42013,2,0.670797592,-0.399287839,202021
theScienceDogs,42013,3,0.728556286,-0.316690394,202021
theScienceDogs,42013,4,0.764155449,-0.268984043,202021
theScienceDogs,42011,1,0.008529329,-4.764244567,202021
theScienceDogs,42011,2,0.00722205,-4.930616458,202021
theScienceDogs,42011,3,0.009107796,-4.698624578,202021
theScienceDogs,42011,4,0.006837607,-4.985317486,202021
theScienceDogs,42009,1,0.145939998,-1.924559713,202021
theScienceDogs,42009,2,0.825725155,-0.191493304,202021
theScienceDogs,42009,3,0.827029912,-0.189914415,202021
theScienceDogs,42009,4,0.824858066,-0.192543949,202021
theScienceDogs,42007,1,0.088532759,-2.424382637,202021
theScienceDogs,42007,2,0.075444115,-2.5843631,202021
theScienceDogs,42007,3,0.042702764,-3.153491626,202021
theScienceDogs,42007,4,0.050274959,-2.990248156,202021
theScienceDogs,42005,1,0.738998483,-0.302459411,202021
theScienceDogs,42005,2,0.641373248,-0.444143702,202021
theScienceDogs,42005,3,0.585904331,-0.534598761,202021
theScienceDogs,42005,4,0.556042966,-0.586909711,202021
theScienceDogs,42033,1,0.00018,-8.622553707,202021
theScienceDogs,42033,2,0.37982,-0.968057823,202021
theScienceDogs,42033,3,0.27396,-1.294773169,202021
theScienceDogs,42033,4,0.2052,-1.583770166,202021
theScienceDogs,42067,1,0.415911911,-0.877281794,202021
theScienceDogs,42067,2,0.335811132,-1.091206383,202021
theScienceDogs,42067,3,0.301499103,-1.198988238,202021
theScienceDogs,42067,4,0.21956663,-1.516099539,202021
theScienceDogs,42069,1,0.02734,-3.599404448,202021
theScienceDogs,42069,2,0.004543726,-5.394007931,202021
theScienceDogs,42069,3,0.00309088,-5.779299472,202021
theScienceDogs,42069,4,0.002557339,-5.968788109,202021
theScienceDogs,42131,1,0.897840582,-0.107762752,202021
theScienceDogs,42131,2,0.853886097,-0.15795747,202021
theScienceDogs,42131,3,0.841710448,-0.17231921,202021
theScienceDogs,42131,4,0.84004417,-0.174300805,202021
theScienceDogs,42129,1,0.132878484,-2.018320226,202021
theScienceDogs,42129,2,0.10174554,-2.285280286,202021
theScienceDogs,42129,3,0.090275329,-2.404891068,202021
theScienceDogs,42129,4,0.08028887,-2.522124273,202021
theScienceDogs,42127,1,0.293066889,-1.227354404,202021
theScienceDogs,42127,2,0.42168093,-0.86350634,202021
theScienceDogs,42127,3,0.351817576,-1.044642488,202021
theScienceDogs,42127,4,0.318329828,-1.144667238,202021
theScienceDogs,42125,1,0.408575588,-0.895078344,202021
theScienceDogs,42125,2,0.260114543,-1.346633194,202021
theScienceDogs,42125,3,0.313533887,-1.159847832,202021
theScienceDogs,42125,4,0.297814398,-1.211284811,202021
theScienceDogs,42123,1,,,202021
theScienceDogs,42123,2,,,202021
theScienceDogs,42123,3,,,202021
theScienceDogs,42123,4,,,202021
theScienceDogs,42121,1,,,202021
theScienceDogs,42121,2,,,202021
theScienceDogs,42121,3,,,202021
theScienceDogs,42121,4,,,202021
theScienceDogs,42119,1,0.483810476,-0.726062027,202021
theScienceDogs,42119,2,0.427679501,-0.849381194,202021
theScienceDogs,42119,3,0.058868063,-2.832456559,202021
theScienceDogs,42119,4,0.053834446,-2.921841764,202021
theScienceDogs,42117,1,0.982586988,-0.017566402,202021
theScienceDogs,42117,2,0.972681609,-0.027698477,202021
theScienceDogs,42117,3,0.971711211,-0.028696626,202021
theScienceDogs,42117,4,0.97275314,-0.027624939,202021
theScienceDogs,42115,1,0.185555556,-1.684400951,202021
theScienceDogs,42115,2,0.213546651,-1.543899966,202021
theScienceDogs,42115,3,0.049859056,-2.998555141,202021
theScienceDogs,42115,4,0.001159588,-6.759690211,202021
theScienceDogs,42113,1,,,202021
theScienceDogs,42113,2,,,202021
theScienceDogs,42113,3,,,202021
theScienceDogs,42113,4,,,202021
theScienceDogs,42111,1,0.005531929,-5.19721879,202021
theScienceDogs,42111,2,0.966590647,-0.033980196,202021
theScienceDogs,42111,3,0.939037102,-0.062900289,202021
theScienceDogs,42111,4,0.917965433,-0.085595544,202021
theScienceDogs,42109,1,0.022748014,-3.783277425,202021
theScienceDogs,42109,2,0.911051981,-0.093155324,202021
theScienceDogs,42109,3,0.001288739,-6.654091154,202021
theScienceDogs,42109,4,0.166532606,-1.792564154,202021
theScienceDogs,42107,1,0.086541731,-2.447128544,202021
theScienceDogs,42107,2,0.047444451,-3.048195702,202021
theScienceDogs,42107,3,0.02597272,-3.650708538,202021
theScienceDogs,42107,4,0.024020381,-3.728852604,202021
theScienceDogs,42105,1,,,202021
theScienceDogs,42105,2,,,202021
theScienceDogs,42105,3,,,202021
theScienceDogs,42105,4,,,202021
theScienceDogs,42103,1,0.0758748,-2.578670661,202021
theScienceDogs,42103,2,0.036483993,-3.310881649,202021
theScienceDogs,42103,3,0.048471141,-3.026786684,202021
theScienceDogs,42103,4,0.038291937,-3.262515936,202021
theScienceDogs,42099,1,0.422715054,-0.861056959,202021
theScienceDogs,42099,2,0.019649722,-3.929692071,202021
theScienceDogs,42099,3,0.017882673,-4.023923035,202021
theScienceDogs,42099,4,0.677730091,-0.389006167,202021
theScienceDogs,42071,1,0.025292374,-3.677252342,202021
theScienceDogs,42071,2,0.019204612,-3.952604802,202021
theScienceDogs,42071,3,0.017321425,-4.055811113,202021
theScienceDogs,42071,4,0.017217072,-4.06185384,202021
theScienceDogs,42073,1,0.493948172,-0.705324683,202021
theScienceDogs,42073,2,0.368861385,-0.997334356,202021
theScienceDogs,42073,3,0.368278066,-0.998917011,202021
theScienceDogs,42073,4,0.383941298,-0.957265609,202021
theScienceDogs,42075,1,0.030712632,-3.483081234,202021
theScienceDogs,42075,2,0.042305784,-3.162831468,202021
theScienceDogs,42075,3,0.041641748,-3.178652056,202021
theScienceDogs,42075,4,0.017570665,-4.04152455,202021
theScienceDogs,42077,1,0.011859343,-4.43463931,202021
theScienceDogs,42077,2,0.010383677,-4.567520239,202021
theScienceDogs,42077,3,0.009094186,-4.70011999,202021
theScienceDogs,42077,4,0.0090018,-4.710330682,202021
theScienceDogs,42079,1,0.013973196,-4.27061434,202021
theScienceDogs,42079,2,0.011966917,-4.425609394,202021
theScienceDogs,42079,3,0.012620144,-4.372460987,202021
theScienceDogs,42079,4,0.010502666,-4.556126124,202021
theScienceDogs,42081,1,0.200978501,-1.604557335,202021
theScienceDogs,42081,2,0.140082513,-1.965523648,202021
theScienceDogs,42081,3,0.099616106,-2.30643142,202021
theScienceDogs,42081,4,0.151218096,-1.889032139,202021
theScienceDogs,42003,1,0.025574231,-3.666170019,202021
theScienceDogs,42003,2,0.025948619,-3.651636899,202021
theScienceDogs,42003,3,0.02374317,-3.740460369,202021
theScienceDogs,42003,4,0.022737871,-3.783723439,202021
theScienceDogs,42083,1,1,0,202021
theScienceDogs,42083,2,1,0,202021
theScienceDogs,42083,3,1,0,202021
theScienceDogs,42083,4,1,0,202021
theScienceDogs,42087,1,0.152221311,-1.882419824,202021
theScienceDogs,42087,2,0.220643426,-1.511207336,202021
theScienceDogs,42087,3,0.251671683,-1.379629885,202021
theScienceDogs,42087,4,0.268271834,-1.315754508,202021
theScienceDogs,42089,1,0.03376596,-3.388302094,202021
theScienceDogs,42089,2,0.025129244,-3.683723022,202021
theScienceDogs,42089,3,0.022291137,-3.803566143,202021
theScienceDogs,42089,4,0.021090372,-3.858938634,202021
theScienceDogs,42091,4,0.012492383,-4.382636205,202021
theScienceDogs,42093,1,0.529249993,-0.636294383,202021
theScienceDogs,42093,2,0.48317857,-0.727368983,202021
theScienceDogs,42093,3,0.474000921,-0.746546014,202021
theScienceDogs,42093,4,0.141362454,-1.956428092,202021
theScienceDogs,42095,1,0.018755503,-3.976268088,202021
theScienceDogs,42095,2,0.014394855,-4.24088443,202021
theScienceDogs,42095,3,0.008889887,-4.722840982,202021
theScienceDogs,42095,4,0.009218289,-4.686565824,202021
theScienceDogs,42097,1,0.13230868,-2.022617601,202021
theScienceDogs,42097,2,0.124003597,-2.087444704,202021
theScienceDogs,42097,3,0.206353845,-1.57816289,202021
theScienceDogs,42097,4,0.192250404,-1.648956568,202021
theScienceDogs,42085,1,0.306527719,-1.18244709,202021
theScienceDogs,42085,2,0.094754653,-2.356464327,202021
theScienceDogs,42085,3,0.131535217,-2.028480656,202021
theScienceDogs,42085,4,0.15536445,-1.861981632,202021
theScienceDogs,42133,1,0.071324952,-2.64050906,202021
theScienceDogs,42133,2,0.042628701,-3.155227517,202021
theScienceDogs,42133,3,0.041353699,-3.185593407,202021
theScienceDogs,42133,4,0.0343522,-3.371089203,202021
theScienceDogs,42001,1,0.02456,-3.706636176,202022
