FIPS,Province_State,date,deaths
42005,Pennsylvania,2020-04-30,2
42005,Pennsylvania,2020-05-01,2
42005,Pennsylvania,2020-05-02,2
42005,Pennsylvania,2020-05-03,2
42005,Pennsylvania,2020-05-04,2
42005,Pennsylvania,2020-05-05,3
42005,Pennsylvania,2020-05-06,3
42005,Pennsylvania,2020-05-07,3
42005,Pennsylvania,2020-05-08,3
42005,Pennsylvania,2020-05-09,3
42005,Pennsylvania,2020-05-10,4
42005,Pennsylvania,2020-05-11,5
42005,Pennsylvania,2020-05-12,5
42005,Pennsylvania,2020-05-13,5
42005,Pennsylvania,2020-05-14,5
42005,Pennsylvania,2020-05-15,5
42005,Pennsylvania,2020-05-16,5
42005,Pennsylvania,2020-05-17,5
42005,Pennsylvania,2020-05-18,2
42005,Pennsylvania,2020-05-19,2
42005,Pennsylvania,2020-05-20,2
42005,Pennsylvania,2020-05-21,2
42005,Pennsylvania,2020-05-22,2
42005,Pennsylvania,2020-05-23,3
42005,Pennsylvania,2020-05-24,3
42005,Pennsylvania,2020-05-25,3
42005,Pennsylvania,2020-05-26,3
42005,Pennsylvania,2020-05-27,4
42005,Pennsylvania,2020-05-28,4
42005,Pennsylvania,2020-05-29,4
42005,Pennsylvania,2020-05-30,4
42005,Pennsylvania,2020-05-31,4
42005,Pennsylvania,2020-06-01,4
42005,Pennsylvania,2020-06-02,5
42005,Pennsylvania,2020-06-03,5
42005,Pennsylvania,2020-06-04,5
42005,Pennsylvania,2020-06-05,5
42005,Pennsylvania,2020-06-06,5
42005,Pennsylvania,2020-06-07,5
42005,Pennsylvania,2020-06-08,5
42005,Pennsylvania,2020-06-09,5
42005,Pennsylvania,2020-06-10,5
42005,Pennsylvania,2020-06-11,5
42005,Pennsylvania,2020-06-12,5
42005,Pennsylvania,2020-06-13,5
42005,Pennsylvania,2020-06-14,5
42005,Pennsylvania,2020-06-15,5
42005,Pennsylvania,2020-06-16,5
42005,Pennsylvania,2020-06-17,5
42007,Pennsylvania,2020-01-22,0
42007,Pennsylvania,2020-01-23,0
42007,Pennsylvania,2020-01-24,0
42007,Pennsylvania,2020-01-25,0
42007,Pennsylvania,2020-01-26,0
42007,Pennsylvania,2020-01-27,0
42007,Pennsylvania,2020-01-28,0
42007,Pennsylvania,2020-01-29,0
42007,Pennsylvania,2020-01-30,0
42007,Pennsylvania,2020-01-31,0
42007,Pennsylvania,2020-02-01,0
42007,Pennsylvania,2020-02-02,0
42007,Pennsylvania,2020-02-03,0
42007,Pennsylvania,2020-02-04,0
42007,Pennsylvania,2020-02-05,0
42007,Pennsylvania,2020-02-06,0
42007,Pennsylvania,2020-02-07,0
42007,Pennsylvania,2020-02-08,0
42007,Pennsylvania,2020-02-09,0
42007,Pennsylvania,2020-02-10,0
42007,Pennsylvania,2020-02-11,0
42007,Pennsylvania,2020-02-12,0
42007,Pennsylvania,2020-02-13,0
42007,Pennsylvania,2020-02-14,0
42007,Pennsylvania,2020-02-15,0
42007,Pennsylvania,2020-02-16,0
42007,Pennsylvania,2020-02-17,0
