,epiweek,modelweek,region,fips,jhucsse__numnewpos,covidtracker__numnewpos,covidtracker__numnewneg,covidtracker__numnewtest,cdcili__num_patients,cdcili__num_providers,cdcili__wili,cdcili__ili,dohweb__numnewpos
37,202004,2611,pa,42075.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
38,202004,2611,pa,42077.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
39,202004,2611,pa,42079.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
40,202004,2611,pa,42081.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
1,202004,2611,pa,42003.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
41,202004,2611,pa,42083.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
43,202004,2611,pa,42087.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
44,202004,2611,pa,42089.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
45,202004,2611,pa,42091.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
46,202004,2611,pa,42093.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
47,202004,2611,pa,42095.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
48,202004,2611,pa,42097.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
42,202004,2611,pa,42085.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
66,202004,2611,pa,42133.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
69,202005,2612,pa,42001.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
137,202005,2612,pa,90042.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
100,202005,2612,pa,42063.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
99,202005,2612,pa,42061.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
98,202005,2612,pa,42059.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
97,202005,2612,pa,42057.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
96,202005,2612,pa,42055.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
95,202005,2612,pa,42053.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
94,202005,2612,pa,42051.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
93,202005,2612,pa,42049.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
92,202005,2612,pa,42047.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
91,202005,2612,pa,42045.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
90,202005,2612,pa,42043.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
89,202005,2612,pa,42041.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
88,202005,2612,pa,42039.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
87,202005,2612,pa,42037.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
101,202005,2612,pa,42065.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
86,202005,2612,pa,42035.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
84,202005,2612,pa,42031.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
83,202005,2612,pa,42029.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
82,202005,2612,pa,42027.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
81,202005,2612,pa,42025.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
80,202005,2612,pa,42023.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
79,202005,2612,pa,42021.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
78,202005,2612,pa,42019.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
77,202005,2612,pa,42017.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
76,202005,2612,pa,42015.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
75,202005,2612,pa,42013.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
74,202005,2612,pa,42011.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
