FIPS,Province_State,date,count
42009,Pennsylvania,2020-02-20,0
42009,Pennsylvania,2020-02-21,0
42009,Pennsylvania,2020-02-22,0
42009,Pennsylvania,2020-02-23,0
42009,Pennsylvania,2020-02-24,0
42009,Pennsylvania,2020-02-25,0
42009,Pennsylvania,2020-02-26,0
42009,Pennsylvania,2020-02-27,0
42009,Pennsylvania,2020-02-28,0
42009,Pennsylvania,2020-02-29,0
42009,Pennsylvania,2020-03-01,0
42009,Pennsylvania,2020-03-02,0
42009,Pennsylvania,2020-03-03,0
42009,Pennsylvania,2020-03-04,0
42009,Pennsylvania,2020-03-05,0
42009,Pennsylvania,2020-03-06,0
42009,Pennsylvania,2020-03-07,0
42009,Pennsylvania,2020-03-08,0
42009,Pennsylvania,2020-03-09,0
42009,Pennsylvania,2020-03-10,0
42009,Pennsylvania,2020-03-11,0
42009,Pennsylvania,2020-03-12,0
42009,Pennsylvania,2020-03-13,0
42009,Pennsylvania,2020-03-14,0
42009,Pennsylvania,2020-03-15,0
42009,Pennsylvania,2020-03-16,0
42009,Pennsylvania,2020-03-17,0
42009,Pennsylvania,2020-03-18,0
42009,Pennsylvania,2020-03-19,0
42009,Pennsylvania,2020-03-20,0
42009,Pennsylvania,2020-03-21,0
42009,Pennsylvania,2020-03-22,0
42009,Pennsylvania,2020-03-23,0
42009,Pennsylvania,2020-03-24,0
42009,Pennsylvania,2020-03-25,0
42009,Pennsylvania,2020-03-26,0
42009,Pennsylvania,2020-03-27,0
42009,Pennsylvania,2020-03-28,0
42009,Pennsylvania,2020-03-29,0
42009,Pennsylvania,2020-03-30,0
42009,Pennsylvania,2020-03-31,2
42009,Pennsylvania,2020-04-01,3
42009,Pennsylvania,2020-04-02,3
42009,Pennsylvania,2020-04-03,3
42009,Pennsylvania,2020-04-04,4
42009,Pennsylvania,2020-04-05,4
42009,Pennsylvania,2020-04-06,4
42009,Pennsylvania,2020-04-07,4
42009,Pennsylvania,2020-04-08,4
42009,Pennsylvania,2020-04-09,4
42009,Pennsylvania,2020-04-10,3
42009,Pennsylvania,2020-04-11,5
42009,Pennsylvania,2020-04-12,5
42009,Pennsylvania,2020-04-13,5
42009,Pennsylvania,2020-04-14,5
42009,Pennsylvania,2020-04-15,9
42009,Pennsylvania,2020-04-16,11
42009,Pennsylvania,2020-04-17,13
42009,Pennsylvania,2020-04-18,14
42009,Pennsylvania,2020-04-19,15
42009,Pennsylvania,2020-04-20,15
42009,Pennsylvania,2020-04-21,16
42009,Pennsylvania,2020-04-22,16
42009,Pennsylvania,2020-04-23,20
42009,Pennsylvania,2020-04-24,21
42009,Pennsylvania,2020-04-25,21
42009,Pennsylvania,2020-04-26,21
42009,Pennsylvania,2020-04-27,21
42009,Pennsylvania,2020-04-28,22
42009,Pennsylvania,2020-04-29,24
42009,Pennsylvania,2020-04-30,24
42009,Pennsylvania,2020-05-01,24
42009,Pennsylvania,2020-05-02,24
42009,Pennsylvania,2020-05-03,24
42009,Pennsylvania,2020-05-04,24
42009,Pennsylvania,2020-05-05,26
42009,Pennsylvania,2020-05-06,27
42009,Pennsylvania,2020-05-07,27
42009,Pennsylvania,2020-05-08,28
42009,Pennsylvania,2020-05-09,29
42009,Pennsylvania,2020-05-10,29
42009,Pennsylvania,2020-05-11,29
42009,Pennsylvania,2020-05-12,29
42009,Pennsylvania,2020-05-13,29
42009,Pennsylvania,2020-05-14,30
